												SUCCESSFUL

_replace_verse

----------------------------------------Reference not found. Skipping...(1, 6, range(9, 11))-Guajajara
Reference not found. Skipping...(1, 41, range(45, 47))-Guajajara
Reference not found. Skipping...(1, 41, range(45, 47))-Guarani
Reference not found. Skipping...(1, 41, range(45, 47))-NVI



Reference not found. Skipping...(1, 44, range(30, 32))-Guajajara
Reference not found. Skipping...(1, 44, range(30, 32))-Guarani
Reference not found. Skipping...(1, 44, range(30, 32))-NVI



Reference not found. Skipping...(2, 1, range(20, 22))-Guajajara
Reference not found. Skipping...(2, 1, range(20, 22))-Guarani
Reference not found. Skipping...(2, 1, range(20, 22))-NVI



Reference not found. Skipping...(2, 2, range(15, 17))-Guajajara
Reference not found. Skipping...(2, 2, range(15, 17))-Guarani
Reference not found. Skipping...(2, 2, range(15, 17))-NVI



Reference not found. Skipping...(2, 19, range(1, 3))-Guajajara
Reference not found. Skipping...(2, 19, range(1, 3))-Guarani
Reference not found. Skipping...(2, 19, range(1, 3))-NVI



Reference not found. Skipping...(2, 21, range(20, 22))-Guajajara
Reference not found. Skipping...(2, 21, range(20, 22))-Guarani
Reference not found. Skipping...(2, 21, range(20, 22))-NVI



Reference not found. Skipping...(2, 21, range(26, 28))-Guajajara
Reference not found. Skipping...(2, 21, range(26, 28))-Guarani
Reference not found. Skipping...(2, 21, range(26, 28))-NVI



Reference not found. Skipping...(2, 22, range(2, 5))-Guajajara
Reference not found. Skipping...(2, 22, range(2, 5))-Guarani
Reference not found. Skipping...(2, 22, range(2, 5))-NVI



Reference not found. Skipping...(2, 24, range(16, 18))-Guajajara
Reference not found. Skipping...(2, 24, range(16, 18))-Guarani
Reference not found. Skipping...(2, 24, range(16, 18))-NVI



Reference not found. Skipping...(2, 27, range(12, 14))-Guajajara
Reference not found. Skipping...(2, 27, range(12, 14))-Guarani
Reference not found. Skipping...(2, 27, range(12, 14))-NVI



Reference not found. Skipping...(2, 27, range(14, 16))-Guajajara
Reference not found. Skipping...(2, 27, range(14, 16))-Guarani
Reference not found. Skipping...(2, 27, range(14, 16))-NVI



Reference not found. Skipping...(2, 28, range(33, 35))-Guajajara
Reference not found. Skipping...(2, 28, range(33, 35))-Guarani
Reference not found. Skipping...(2, 28, range(33, 35))-NVI



Reference not found. Skipping...(2, 30, range(23, 26))-Guajajara
Reference not found. Skipping...(2, 30, range(23, 26))-Guarani
Reference not found. Skipping...(2, 30, range(23, 26))-NVI



Reference not found. Skipping...(2, 30, range(34, 36))-Guajajara
Reference not found. Skipping...(2, 30, range(34, 36))-Guarani
Reference not found. Skipping...(2, 30, range(34, 36))-NVI



Reference not found. Skipping...(2, 38, range(12, 14))-Guajajara
Reference not found. Skipping...(2, 38, range(12, 14))-Guarani
Reference not found. Skipping...(2, 38, range(12, 14))-NVI



Reference not found. Skipping...(2, 38, range(14, 16))-Guajajara
Reference not found. Skipping...(2, 38, range(14, 16))-Guarani
Reference not found. Skipping...(2, 38, range(14, 16))-NVI



Reference not found. Skipping...(3, 8, range(20, 22))-Guajajara
Reference not found. Skipping...(3, 8, range(20, 22))-Guarani
Reference not found. Skipping...(3, 8, range(20, 22))-NVI



Reference not found. Skipping...(3, 11, range(4, 7))-Guajajara
Reference not found. Skipping...(3, 11, range(4, 7))-Guarani
Reference not found. Skipping...(3, 11, range(4, 7))-NVI



Reference not found. Skipping...(3, 11, range(24, 29))-Guajajara
Reference not found. Skipping...(3, 11, range(24, 29))-Guarani
Reference not found. Skipping...(3, 11, range(24, 29))-NVI



Reference not found. Skipping...(3, 11, range(29, 31))-Guajajara
Reference not found. Skipping...(3, 11, range(29, 31))-Guarani
Reference not found. Skipping...(3, 11, range(29, 31))-NVI



Reference not found. Skipping...(3, 13, range(40, 42))-Guajajara
Reference not found. Skipping...(3, 13, range(40, 42))-Guarani
Reference not found. Skipping...(3, 13, range(40, 42))-NVI



Reference not found. Skipping...(3, 14, range(37, 39))-Guajajara
Reference not found. Skipping...(3, 14, range(37, 39))-Guarani
Reference not found. Skipping...(3, 14, range(37, 39))-NVI



Reference not found. Skipping...(3, 14, range(54, 57))-Guajajara
Reference not found. Skipping...(3, 14, range(54, 57))-Guarani
Reference not found. Skipping...(3, 14, range(54, 57))-NVI



Reference not found. Skipping...(3, 15, range(21, 24))-Guajajara
Reference not found. Skipping...(3, 15, range(21, 24))-Guarani
Reference not found. Skipping...(3, 15, range(21, 24))-NVI



Reference not found. Skipping...(3, 18, range(12, 14))-Guajajara
Reference not found. Skipping...(3, 18, range(12, 14))-Guarani
Reference not found. Skipping...(3, 18, range(12, 14))-NVI



Reference not found. Skipping...(3, 24, range(10, 12))-Guajajara
Reference not found. Skipping...(3, 24, range(10, 12))-Guarani
Reference not found. Skipping...(3, 24, range(10, 12))-NVI



Reference not found. Skipping...(3, 25, range(15, 17))-Guajajara
Reference not found. Skipping...(3, 25, range(15, 17))-Guarani
Reference not found. Skipping...(3, 25, range(15, 17))-NVI



Reference not found. Skipping...(4, 1, range(5, 17))-Guajajara
Reference not found. Skipping...(4, 1, range(5, 17))-Guarani
Reference not found. Skipping...(4, 1, range(5, 17))-NVI



Reference not found. Skipping...(4, 1, range(17, 19))-Guajajara
Reference not found. Skipping...(4, 1, range(17, 19))-Guarani
Reference not found. Skipping...(4, 1, range(17, 19))-NVI



Reference not found. Skipping...(4, 1, range(20, 22))-Guajajara
Reference not found. Skipping...(4, 1, range(20, 22))-Guarani
Reference not found. Skipping...(4, 1, range(20, 22))-NVI



Reference not found. Skipping...(4, 1, range(22, 24))-Guajajara
Reference not found. Skipping...(4, 1, range(22, 24))-Guarani
Reference not found. Skipping...(4, 1, range(22, 24))-NVI



Reference not found. Skipping...(4, 1, range(24, 26))-Guajajara
Reference not found. Skipping...(4, 1, range(24, 26))-Guarani
Reference not found. Skipping...(4, 1, range(24, 26))-NVI



Reference not found. Skipping...(4, 1, range(26, 28))-Guajajara
Reference not found. Skipping...(4, 1, range(26, 28))-Guarani
Reference not found. Skipping...(4, 1, range(26, 28))-NVI



Reference not found. Skipping...(4, 1, range(28, 30))-Guajajara
Reference not found. Skipping...(4, 1, range(28, 30))-Guarani
Reference not found. Skipping...(4, 1, range(28, 30))-NVI



Reference not found. Skipping...(4, 1, range(30, 32))-Guajajara
Reference not found. Skipping...(4, 1, range(30, 32))-Guarani
Reference not found. Skipping...(4, 1, range(30, 32))-NVI



Reference not found. Skipping...(4, 1, range(32, 34))-Guajajara
Reference not found. Skipping...(4, 1, range(32, 34))-Guarani
Reference not found. Skipping...(4, 1, range(32, 34))-NVI



Reference not found. Skipping...(4, 1, range(34, 36))-Guajajara
Reference not found. Skipping...(4, 1, range(34, 36))-Guarani
Reference not found. Skipping...(4, 1, range(34, 36))-NVI



Reference not found. Skipping...(4, 1, range(36, 38))-Guajajara
Reference not found. Skipping...(4, 1, range(36, 38))-Guarani
Reference not found. Skipping...(4, 1, range(36, 38))-NVI



Reference not found. Skipping...(4, 1, range(38, 40))-Guajajara
Reference not found. Skipping...(4, 1, range(38, 40))-Guarani
Reference not found. Skipping...(4, 1, range(38, 40))-NVI



Reference not found. Skipping...(4, 1, range(40, 42))-Guajajara
Reference not found. Skipping...(4, 1, range(40, 42))-Guarani
Reference not found. Skipping...(4, 1, range(40, 42))-NVI



Reference not found. Skipping...(4, 1, range(42, 44))-Guajajara
Reference not found. Skipping...(4, 1, range(42, 44))-Guarani
Reference not found. Skipping...(4, 1, range(42, 44))-NVI



Reference not found. Skipping...(4, 1, range(44, 47))-Guajajara
Reference not found. Skipping...(4, 1, range(44, 47))-Guarani
Reference not found. Skipping...(4, 1, range(44, 47))-NVI



Reference not found. Skipping...(4, 2, range(3, 5))-Guajajara
Reference not found. Skipping...(4, 2, range(3, 5))-Guarani
Reference not found. Skipping...(4, 2, range(3, 5))-NVI



Reference not found. Skipping...(4, 2, range(5, 7))-Guajajara
Reference not found. Skipping...(4, 2, range(5, 7))-Guarani
Reference not found. Skipping...(4, 2, range(5, 7))-NVI



Reference not found. Skipping...(4, 2, range(7, 9))-Guajajara
Reference not found. Skipping...(4, 2, range(7, 9))-Guarani
Reference not found. Skipping...(4, 2, range(7, 9))-NVI



Reference not found. Skipping...(4, 2, range(10, 12))-Guajajara
Reference not found. Skipping...(4, 2, range(10, 12))-Guarani
Reference not found. Skipping...(4, 2, range(10, 12))-NVI



Reference not found. Skipping...(4, 2, range(12, 14))-Guajajara
Reference not found. Skipping...(4, 2, range(12, 14))-Guarani
Reference not found. Skipping...(4, 2, range(12, 14))-NVI



Reference not found. Skipping...(4, 2, range(14, 16))-Guajajara
Reference not found. Skipping...(4, 2, range(14, 16))-Guarani
Reference not found. Skipping...(4, 2, range(14, 16))-NVI



Reference not found. Skipping...(4, 2, range(18, 20))-Guajajara
Reference not found. Skipping...(4, 2, range(18, 20))-Guarani
Reference not found. Skipping...(4, 2, range(18, 20))-NVI



Reference not found. Skipping...(4, 2, range(20, 22))-Guajajara
Reference not found. Skipping...(4, 2, range(20, 22))-Guarani
Reference not found. Skipping...(4, 2, range(20, 22))-NVI



Reference not found. Skipping...(4, 2, range(22, 24))-Guajajara
Reference not found. Skipping...(4, 2, range(22, 24))-Guarani
Reference not found. Skipping...(4, 2, range(22, 24))-NVI



Reference not found. Skipping...(4, 2, range(25, 27))-Guajajara
Reference not found. Skipping...(4, 2, range(25, 27))-Guarani
Reference not found. Skipping...(4, 2, range(25, 27))-NVI



Reference not found. Skipping...(4, 2, range(27, 29))-Guajajara
Reference not found. Skipping...(4, 2, range(27, 29))-Guarani
Reference not found. Skipping...(4, 2, range(27, 29))-NVI



Reference not found. Skipping...(4, 2, range(29, 31))-Guajajara
Reference not found. Skipping...(4, 2, range(29, 31))-Guarani
Reference not found. Skipping...(4, 2, range(29, 31))-NVI



Reference not found. Skipping...(4, 3, range(12, 14))-Guajajara
Reference not found. Skipping...(4, 3, range(12, 14))-Guarani
Reference not found. Skipping...(4, 3, range(12, 14))-NVI



Reference not found. Skipping...(4, 3, range(18, 21))-Guajajara
Reference not found. Skipping...(4, 3, range(18, 21))-Guarani
Reference not found. Skipping...(4, 3, range(18, 21))-NVI



Reference not found. Skipping...(4, 3, range(47, 49))-Guajajara
Reference not found. Skipping...(4, 3, range(47, 49))-Guarani
Reference not found. Skipping...(4, 3, range(47, 49))-NVI



Reference not found. Skipping...(4, 4, range(34, 49))-Guajajara
Reference not found. Skipping...(4, 4, range(34, 49))-Guarani
Reference not found. Skipping...(4, 4, range(34, 49))-NVI



Reference not found. Skipping...(4, 6, range(6, 8))-Guajajara
Reference not found. Skipping...(4, 6, range(6, 8))-Guarani
Reference not found. Skipping...(4, 6, range(6, 8))-NVI



Reference not found. Skipping...(4, 7, range(12, 84))-Guajajara
Reference not found. Skipping...(4, 7, range(12, 84))-Guarani
Reference not found. Skipping...(4, 7, range(12, 84))-NVI



Reference not found. Skipping...(4, 7, range(84, 86))-Guajajara
Reference not found. Skipping...(4, 7, range(84, 86))-Guarani
Reference not found. Skipping...(4, 7, range(84, 86))-NVI



Reference not found. Skipping...(4, 9, range(2, 4))-Guajajara
Reference not found. Skipping...(4, 9, range(2, 4))-Guarani
Reference not found. Skipping...(4, 9, range(2, 4))-NVI



Reference not found. Skipping...(4, 11, range(8, 10))-Guajajara
Reference not found. Skipping...(4, 11, range(8, 10))-Guarani
Reference not found. Skipping...(4, 11, range(8, 10))-NVI



Reference not found. Skipping...(4, 13, range(4, 16))-Guajajara
Reference not found. Skipping...(4, 13, range(4, 16))-Guarani
Reference not found. Skipping...(4, 13, range(4, 16))-NVI



Reference not found. Skipping...(4, 14, range(36, 38))-Guajajara
Reference not found. Skipping...(4, 14, range(36, 38))-Guarani
Reference not found. Skipping...(4, 14, range(36, 38))-NVI



Reference not found. Skipping...(4, 15, range(4, 6))-Guajajara
Reference not found. Skipping...(4, 15, range(4, 6))-Guarani
Reference not found. Skipping...(4, 15, range(4, 6))-NVI



Reference not found. Skipping...(4, 16, range(1, 3))-Guajajara
Reference not found. Skipping...(4, 16, range(1, 3))-Guarani
Reference not found. Skipping...(4, 16, range(1, 3))-NVI



Reference not found. Skipping...(4, 16, range(6, 8))-Guajajara
Reference not found. Skipping...(4, 16, range(6, 8))-Guarani
Reference not found. Skipping...(4, 16, range(6, 8))-NVI



Reference not found. Skipping...(4, 26, range(3, 5))-Guajajara
Reference not found. Skipping...(4, 26, range(3, 5))-Guarani
Reference not found. Skipping...(4, 26, range(3, 5))-NVI



Reference not found. Skipping...(4, 26, range(19, 22))-Guajajara
Reference not found. Skipping...(4, 26, range(19, 22))-Guarani
Reference not found. Skipping...(4, 26, range(19, 22))-NVI



Reference not found. Skipping...(4, 26, range(54, 57))-Guajajara
Reference not found. Skipping...(4, 26, range(54, 57))-Guarani
Reference not found. Skipping...(4, 26, range(54, 57))-NVI



Reference not found. Skipping...(4, 27, range(19, 21))-Guajajara
Reference not found. Skipping...(4, 27, range(19, 21))-Guarani
Reference not found. Skipping...(4, 27, range(19, 21))-NVI



Reference not found. Skipping...(4, 29, range(18, 20))-Guajajara
Reference not found. Skipping...(4, 29, range(18, 20))-Guarani
Reference not found. Skipping...(4, 29, range(18, 20))-NVI



Reference not found. Skipping...(4, 29, range(21, 23))-Guajajara
Reference not found. Skipping...(4, 29, range(21, 23))-Guarani
Reference not found. Skipping...(4, 29, range(21, 23))-NVI



Reference not found. Skipping...(4, 29, range(24, 26))-Guajajara
Reference not found. Skipping...(4, 29, range(24, 26))-Guarani
Reference not found. Skipping...(4, 29, range(24, 26))-NVI



Reference not found. Skipping...(4, 29, range(27, 29))-Guajajara
Reference not found. Skipping...(4, 29, range(27, 29))-Guarani
Reference not found. Skipping...(4, 29, range(27, 29))-NVI



Reference not found. Skipping...(4, 29, range(30, 32))-Guajajara
Reference not found. Skipping...(4, 29, range(30, 32))-Guarani
Reference not found. Skipping...(4, 29, range(30, 32))-NVI



Reference not found. Skipping...(4, 29, range(33, 35))-Guajajara
Reference not found. Skipping...(4, 29, range(33, 35))-Guarani
Reference not found. Skipping...(4, 29, range(33, 35))-NVI



Reference not found. Skipping...(4, 29, range(37, 39))-Guajajara
Reference not found. Skipping...(4, 29, range(37, 39))-Guarani
Reference not found. Skipping...(4, 29, range(37, 39))-NVI



Reference not found. Skipping...(4, 31, range(22, 24))-Guajajara
Reference not found. Skipping...(4, 31, range(22, 24))-Guarani
Reference not found. Skipping...(4, 31, range(22, 24))-NVI



Reference not found. Skipping...(4, 31, range(32, 36))-Guajajara
Reference not found. Skipping...(4, 31, range(32, 36))-Guarani
Reference not found. Skipping...(4, 31, range(32, 36))-NVI



Reference not found. Skipping...(4, 31, range(36, 41))-Guajajara
Reference not found. Skipping...(4, 31, range(36, 41))-Guarani
Reference not found. Skipping...(4, 31, range(36, 41))-NVI



Reference not found. Skipping...(4, 31, range(42, 47))-Guajajara
Reference not found. Skipping...(4, 31, range(42, 47))-Guarani
Reference not found. Skipping...(4, 31, range(42, 47))-NVI



Reference not found. Skipping...(4, 32, range(3, 5))-Guajajara
Reference not found. Skipping...(4, 32, range(3, 5))-Guarani
Reference not found. Skipping...(4, 32, range(3, 5))-NVI



Reference not found. Skipping...(4, 32, range(34, 37))-Guajajara
Reference not found. Skipping...(4, 32, range(34, 37))-Guarani
Reference not found. Skipping...(4, 32, range(34, 37))-NVI



Reference not found. Skipping...(4, 33, range(15, 38))-Guajajara
Reference not found. Skipping...(4, 33, range(15, 38))-Guarani
Reference not found. Skipping...(4, 33, range(15, 38))-NVI



Reference not found. Skipping...(4, 33, range(41, 50))-Guajajara
Reference not found. Skipping...(4, 33, range(41, 50))-Guarani
Reference not found. Skipping...(4, 33, range(41, 50))-NVI



Reference not found. Skipping...(4, 34, range(14, 16))-Guajajara
Reference not found. Skipping...(4, 34, range(14, 16))-Guarani
Reference not found. Skipping...(4, 34, range(14, 16))-NVI



Reference not found. Skipping...(4, 34, range(19, 29))-Guajajara
Reference not found. Skipping...(4, 34, range(19, 29))-Guarani
Reference not found. Skipping...(4, 34, range(19, 29))-NVI



Reference not found. Skipping...(4, 35, range(16, 19))-Guajajara
Reference not found. Skipping...(4, 35, range(16, 19))-Guarani
Reference not found. Skipping...(4, 35, range(16, 19))-NVI



Reference not found. Skipping...(4, 36, range(10, 12))-Guajajara
Reference not found. Skipping...(4, 36, range(10, 12))-Guarani
Reference not found. Skipping...(4, 36, range(10, 12))-NVI



Reference not found. Skipping...(5, 1, range(30, 32))-Guajajara
Reference not found. Skipping...(5, 1, range(30, 32))-Guarani
Reference not found. Skipping...(5, 1, range(30, 32))-NVI



Reference not found. Skipping...(5, 4, range(16, 19))-Guajajara
Reference not found. Skipping...(5, 4, range(16, 19))-Guarani
Reference not found. Skipping...(5, 4, range(16, 19))-NVI



Reference not found. Skipping...(5, 16, range(5, 7))-Guajajara
Reference not found. Skipping...(5, 16, range(5, 7))-Guarani
Reference not found. Skipping...(5, 16, range(5, 7))-NVI



Reference not found. Skipping...(5, 19, range(2, 4))-Guajajara
Reference not found. Skipping...(5, 19, range(2, 4))-Guarani
Reference not found. Skipping...(5, 19, range(2, 4))-NVI



Reference not found. Skipping...(5, 24, range(2, 4))-Guajajara
Reference not found. Skipping...(5, 24, range(2, 4))-Guarani
Reference not found. Skipping...(5, 24, range(2, 4))-NVI



Reference not found. Skipping...(5, 28, range(54, 56))-Guajajara
Reference not found. Skipping...(5, 28, range(54, 56))-Guarani
Reference not found. Skipping...(5, 28, range(54, 56))-NVI



Reference not found. Skipping...(5, 28, range(56, 58))-Guajajara
Reference not found. Skipping...(5, 28, range(56, 58))-Guarani
Reference not found. Skipping...(5, 28, range(56, 58))-NVI



Reference not found. Skipping...(5, 30, range(17, 19))-Guajajara
Reference not found. Skipping...(5, 30, range(17, 19))-Guarani
Reference not found. Skipping...(5, 30, range(17, 19))-NVI



Reference not found. Skipping...(6, 3, range(14, 16))-Guajajara
Reference not found. Skipping...(6, 3, range(14, 16))-Guarani
Reference not found. Skipping...(6, 3, range(14, 16))-NVI



Reference not found. Skipping...(6, 12, range(9, 25))-Guajajara
Reference not found. Skipping...(6, 12, range(9, 25))-Guarani
Reference not found. Skipping...(6, 12, range(9, 25))-NVI



Reference not found. Skipping...(6, 13, range(17, 21))-Guajajara
Reference not found. Skipping...(6, 13, range(17, 21))-Guarani
Reference not found. Skipping...(6, 13, range(17, 21))-NVI



Reference not found. Skipping...(6, 21, range(1, 3))-Guajajara
Reference not found. Skipping...(6, 21, range(1, 3))-Guarani
Reference not found. Skipping...(6, 21, range(1, 3))-NVI



Reference not found. Skipping...(6, 21, range(28, 30))-Guajajara
Reference not found. Skipping...(6, 21, range(28, 30))-Guarani
Reference not found. Skipping...(6, 21, range(28, 30))-NVI



Reference not found. Skipping...(6, 23, range(15, 17))-Guajajara
Reference not found. Skipping...(6, 23, range(15, 17))-Guarani
Reference not found. Skipping...(6, 23, range(15, 17))-NVI



Reference not found. Skipping...(7, 13, range(15, 17))-Guajajara
Reference not found. Skipping...(7, 13, range(15, 17))-Guarani
Reference not found. Skipping...(7, 13, range(15, 17))-NVI



Reference not found. Skipping...(7, 14, range(12, 14))-Guajajara
Reference not found. Skipping...(7, 14, range(12, 14))-Guarani
Reference not found. Skipping...(7, 14, range(12, 14))-NVI



Reference not found. Skipping...(7, 19, range(10, 12))-Guajajara
Reference not found. Skipping...(7, 19, range(10, 12))-Guarani
Reference not found. Skipping...(7, 19, range(10, 12))-NVI



Reference not found. Skipping...(7, 20, range(22, 24))-Guajajara
Reference not found. Skipping...(7, 20, range(22, 24))-Guarani
Reference not found. Skipping...(7, 20, range(22, 24))-NVI



Reference not found. Skipping...(8, 4, range(7, 9))-Guajajara
Reference not found. Skipping...(8, 4, range(7, 9))-Guarani
Reference not found. Skipping...(8, 4, range(7, 9))-NVI



Reference not found. Skipping...(8, 4, range(18, 23))-Guajajara
Reference not found. Skipping...(8, 4, range(18, 23))-Guarani
Reference not found. Skipping...(8, 4, range(18, 23))-NVI



Reference not found. Skipping...(9, 9, range(9, 12))-Guajajara
Reference not found. Skipping...(9, 9, range(9, 12))-Guarani
Reference not found. Skipping...(9, 9, range(9, 12))-NVI



Reference not found. Skipping...(9, 17, range(50, 52))-Guajajara
Reference not found. Skipping...(9, 17, range(50, 52))-Guarani
Reference not found. Skipping...(9, 17, range(50, 52))-NVI



Reference not found. Skipping...(9, 25, range(2, 4))-Guajajara
Reference not found. Skipping...(9, 25, range(2, 4))-Guarani
Reference not found. Skipping...(9, 25, range(2, 4))-NVI



Reference not found. Skipping...(9, 30, range(29, 32))-Guajajara
Reference not found. Skipping...(9, 30, range(29, 32))-Guarani
Reference not found. Skipping...(9, 30, range(29, 32))-NVI



Reference not found. Skipping...(10, 3, range(9, 11))-Guajajara
Reference not found. Skipping...(10, 3, range(9, 11))-Guarani
Reference not found. Skipping...(10, 3, range(9, 11))-NVI



Reference not found. Skipping...(10, 4, range(9, 12))-Guajajara
Reference not found. Skipping...(10, 4, range(9, 12))-Guarani
Reference not found. Skipping...(10, 4, range(9, 12))-NVI



Reference not found. Skipping...(10, 7, range(10, 12))-Guajajara
Reference not found. Skipping...(10, 7, range(10, 12))-Guarani
Reference not found. Skipping...(10, 7, range(10, 12))-NVI



Reference not found. Skipping...(10, 17, range(28, 30))-Guajajara
Reference not found. Skipping...(10, 17, range(28, 30))-Guarani
Reference not found. Skipping...(10, 17, range(28, 30))-NVI



Reference not found. Skipping...(10, 23, range(22, 24))-Guajajara
Reference not found. Skipping...(10, 23, range(22, 24))-Guarani
Reference not found. Skipping...(10, 23, range(22, 24))-NVI



Reference not found. Skipping...(10, 23, range(24, 40))-Guajajara
Reference not found. Skipping...(10, 23, range(24, 40))-Guarani
Reference not found. Skipping...(10, 23, range(24, 40))-NVI



Reference not found. Skipping...(10, 24, range(11, 13))-Guajajara
Reference not found. Skipping...(10, 24, range(11, 13))-Guarani
Reference not found. Skipping...(10, 24, range(11, 13))-NVI



Reference not found. Skipping...(11, 1, range(5, 7))-Guajajara
Reference not found. Skipping...(11, 1, range(5, 7))-Guarani
Reference not found. Skipping...(11, 1, range(5, 7))-NVI



Reference not found. Skipping...(11, 6, range(24, 27))-Guajajara
Reference not found. Skipping...(11, 6, range(24, 27))-Guarani
Reference not found. Skipping...(11, 6, range(24, 27))-NVI



Reference not found. Skipping...(11, 7, range(2, 4))-Guajajara
Reference not found. Skipping...(11, 7, range(2, 4))-Guarani
Reference not found. Skipping...(11, 7, range(2, 4))-NVI



Reference not found. Skipping...(11, 7, range(40, 46))-Guajajara
Reference not found. Skipping...(11, 7, range(40, 46))-Guarani
Reference not found. Skipping...(11, 7, range(40, 46))-NVI



Reference not found. Skipping...(11, 8, range(41, 43))-Guajajara
Reference not found. Skipping...(11, 8, range(41, 43))-Guarani
Reference not found. Skipping...(11, 8, range(41, 43))-NVI



Reference not found. Skipping...(11, 9, range(20, 22))-Guajajara
Reference not found. Skipping...(11, 9, range(20, 22))-Guarani
Reference not found. Skipping...(11, 9, range(20, 22))-NVI



Reference not found. Skipping...(11, 10, range(19, 21))-Guajajara
Reference not found. Skipping...(11, 10, range(19, 21))-Guarani
Reference not found. Skipping...(11, 10, range(19, 21))-NVI



Reference not found. Skipping...(11, 11, range(9, 11))-Guajajara
Reference not found. Skipping...(11, 11, range(9, 11))-Guarani
Reference not found. Skipping...(11, 11, range(9, 11))-NVI



Reference not found. Skipping...(11, 11, range(15, 17))-Guajajara
Reference not found. Skipping...(11, 11, range(15, 17))-Guarani
Reference not found. Skipping...(11, 11, range(15, 17))-NVI



Reference not found. Skipping...(11, 12, range(26, 28))-Guajajara
Reference not found. Skipping...(11, 12, range(26, 28))-Guarani
Reference not found. Skipping...(11, 12, range(26, 28))-NVI



Reference not found. Skipping...(12, 9, range(14, 16))-Guajajara
Reference not found. Skipping...(12, 9, range(14, 16))-Guarani
Reference not found. Skipping...(12, 9, range(14, 16))-NVI



Reference not found. Skipping...(12, 12, range(20, 22))-Guajajara
Reference not found. Skipping...(12, 12, range(20, 22))-Guarani
Reference not found. Skipping...(12, 12, range(20, 22))-NVI



Reference not found. Skipping...(13, 1, range(29, 32))-Guajajara
Reference not found. Skipping...(13, 1, range(29, 32))-Guarani
Reference not found. Skipping...(13, 1, range(29, 32))-NVI



Reference not found. Skipping...(13, 1, range(38, 43))-Guajajara
Reference not found. Skipping...(13, 1, range(38, 43))-Guarani
Reference not found. Skipping...(13, 1, range(38, 43))-NVI



Reference not found. Skipping...(13, 1, range(43, 51))-Guajajara
Reference not found. Skipping...(13, 1, range(43, 51))-Guarani
Reference not found. Skipping...(13, 1, range(43, 51))-NVI



Reference not found. Skipping...(13, 1, range(51, 55))-Guajajara
Reference not found. Skipping...(13, 1, range(51, 55))-Guarani
